                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.58541,                0.57226,                 1.0903,                 0.9713,                0.89387,                0.96374,                0.86638,                0.42525,                 1.3534,                0.89461,               0.008812,               0.008812,               0.008812
                     62,                0.57862,                 0.5598,                 1.0895,                0.96579,                0.90934,                0.96561,                0.86926,                0.41752,                 2.9933,                0.89104,              0.0087922,              0.0087922,              0.0087922
                     63,                0.58839,                0.56335,                 1.0981,                0.96036,                 0.8836,                0.95734,                0.85704,                 0.4431,                 1.5319,                0.90954,              0.0087724,              0.0087724,              0.0087724
                     64,                0.57194,                0.54582,                 1.0816,                0.94366,                0.92033,                0.96496,                0.86825,                0.43471,                 1.8589,                0.90505,              0.0087526,              0.0087526,              0.0087526
                     65,                0.58076,                 0.5552,                 1.0903,                0.94834,                0.91909,                0.97069,                0.88049,                0.42347,                 1.8667,                0.90052,              0.0087328,              0.0087328,              0.0087328
                     66,                  0.571,                0.54721,                 1.0853,                0.94141,                0.91169,                0.96204,                0.87379,                0.40352,                 1.6522,                0.87599,               0.008713,               0.008713,               0.008713
                     67,                0.56394,                0.54489,                 1.0802,                 0.9408,                 0.9256,                0.96528,                 0.8741,                0.41443,                 1.2181,                0.88759,              0.0086932,              0.0086932,              0.0086932
                     68,                0.57135,                0.54898,                 1.0879,                0.96023,                0.91531,                0.96474,                0.87606,                0.40898,                 1.5696,                0.88227,              0.0086734,              0.0086734,              0.0086734
                     69,                 0.5713,                0.53837,                  1.087,                0.94044,                0.91844,                0.96731,                0.86818,                0.42301,                 1.1744,                0.89062,              0.0086536,              0.0086536,              0.0086536
                     70,                0.56797,                0.53067,                 1.0818,                0.97145,                0.90835,                0.96841,                0.87868,                0.40946,                 1.1177,                 0.8857,              0.0086338,              0.0086338,              0.0086338
                     71,                0.56447,                0.53555,                 1.0802,                0.95058,                0.92833,                0.96963,                0.86991,                0.42672,                 2.1738,                 0.8925,               0.008614,               0.008614,               0.008614
                     72,                0.56842,                0.54027,                 1.0797,                0.96996,                0.91023,                0.96745,                0.87631,                0.41288,                 1.7755,                0.89685,              0.0085942,              0.0085942,              0.0085942
                     73,                0.55705,                0.52636,                 1.0769,                0.95334,                0.92016,                0.96863,                0.87815,                0.39837,                 1.5383,                0.87481,              0.0085744,              0.0085744,              0.0085744
                     74,                0.56128,                0.51607,                 1.0755,                0.97063,                0.92019,                0.97139,                0.88032,                 0.4059,                 1.2066,                0.87705,              0.0085546,              0.0085546,              0.0085546
                     75,                0.56121,                0.52087,                 1.0753,                0.95275,                0.93622,                0.97176,                0.87823,                0.40716,                 2.8084,                0.88507,              0.0085348,              0.0085348,              0.0085348
                     76,                 0.5488,                0.51212,                 1.0686,                0.97911,                0.92285,                0.97566,                  0.883,                0.39965,                 1.4909,                0.87866,               0.008515,               0.008515,               0.008515
                     77,                0.55317,                0.51576,                 1.0734,                 0.9522,                0.93191,                0.97125,                0.87836,                0.41682,                 1.9573,                0.89298,              0.0084952,              0.0084952,              0.0084952
                     78,                0.55914,                0.52135,                 1.0695,                0.95494,                0.91115,                0.96645,                0.87287,                 0.4145,                 2.9218,                0.88429,              0.0084754,              0.0084754,              0.0084754
                     79,                0.56231,                0.51616,                 1.0728,                0.95766,                0.91673,                0.96497,                0.87645,                0.41347,                 1.6759,                0.88514,              0.0084556,              0.0084556,              0.0084556
                     80,                0.54698,                0.51376,                 1.0656,                0.96842,                0.91039,                 0.9688,                0.87564,                0.40671,                 1.1032,                0.87931,              0.0084358,              0.0084358,              0.0084358
                     81,                0.54842,                 0.5045,                 1.0676,                0.94747,                   0.93,                0.97135,                0.88546,                0.40039,                 2.6572,                0.87063,               0.008416,               0.008416,               0.008416
                     82,                 0.5474,                0.50833,                 1.0651,                0.97245,                0.90641,                0.97078,                0.87539,                0.42018,                 1.5084,                0.89102,              0.0083962,              0.0083962,              0.0083962
                     83,                0.55219,                0.51504,                   1.07,                0.97396,                0.91751,                0.97287,                 0.8808,                0.40386,                 1.0955,                0.87545,              0.0083764,              0.0083764,              0.0083764
                     84,                0.54001,                0.51008,                 1.0657,                0.96676,                0.91793,                0.96988,                 0.8829,                0.40236,                  1.317,                0.87625,              0.0083566,              0.0083566,              0.0083566
                     85,                0.53236,                0.49958,                 1.0576,                0.96548,                0.92666,                0.97163,                0.88075,                0.39431,                 1.2224,                 0.8739,              0.0083368,              0.0083368,              0.0083368
                     86,                0.54113,                0.49347,                 1.0617,                0.96361,                0.93178,                0.97552,                0.88679,                0.39776,                0.77024,                0.87415,               0.008317,               0.008317,               0.008317
                     87,                0.54291,                0.50282,                  1.066,                0.95713,                 0.9215,                0.96876,                0.87723,                0.40555,                 1.1233,                0.87738,              0.0082972,              0.0082972,              0.0082972
                     88,                0.54458,                0.50027,                 1.0625,                0.95739,                0.91601,                0.97014,                0.88162,                0.39807,                 1.4503,                0.87786,              0.0082774,              0.0082774,              0.0082774
                     89,                0.54156,                0.49892,                 1.0598,                0.96497,                0.92653,                0.97013,                0.88124,                0.40018,                  1.171,                0.87978,              0.0082576,              0.0082576,              0.0082576
                     90,                0.53647,                0.49679,                 1.0561,                0.95573,                0.93295,                0.97007,                0.88445,                 0.3979,                  1.001,                 0.8766,              0.0082378,              0.0082378,              0.0082378
                     91,                0.53594,                0.49687,                 1.0578,                0.95758,                0.93077,                0.97074,                0.88411,                 0.4009,                 1.1947,                0.88007,               0.008218,               0.008218,               0.008218
                     92,                0.52634,                0.49255,                 1.0509,                 0.9621,                0.93896,                0.97297,                0.88735,                0.38887,                 1.7201,                0.86522,              0.0081982,              0.0081982,              0.0081982
                     93,                0.52938,                0.48698,                 1.0535,                0.97942,                0.91889,                0.97253,                0.88884,                0.38816,                0.84146,                0.86168,              0.0081784,              0.0081784,              0.0081784
                     94,                0.52127,                0.48357,                 1.0469,                 0.9687,                0.91513,                0.96767,                0.88536,                0.39091,                0.93891,                0.86878,              0.0081586,              0.0081586,              0.0081586
                     95,                0.53398,                0.48658,                 1.0581,                0.96629,                0.92821,                0.97372,                0.89059,                0.38481,                 1.0497,                0.86801,              0.0081388,              0.0081388,              0.0081388
                     96,                 0.5207,                0.47755,                 1.0519,                0.96948,                0.92075,                0.97308,                0.88725,                0.38706,                 1.1608,                0.86619,               0.008119,               0.008119,               0.008119
                     97,                0.52384,                0.48608,                 1.0554,                0.96174,                0.92295,                 0.9697,                0.88429,                0.38558,                 1.0119,                0.86438,              0.0080992,              0.0080992,              0.0080992
                     98,                0.52405,                0.47689,                  1.047,                0.97341,                0.91987,                0.97125,                0.88713,                0.38574,                0.83772,                0.87228,              0.0080794,              0.0080794,              0.0080794
                     99,                0.51835,                0.46405,                 1.0484,                0.96846,                0.92551,                0.97304,                0.88561,                0.39548,                0.77929,                0.87443,              0.0080596,              0.0080596,              0.0080596
                    100,                0.52029,                0.47366,                 1.0538,                0.96752,                0.92741,                0.97081,                0.88787,                0.39224,                 1.1285,                0.86946,              0.0080398,              0.0080398,              0.0080398
                    101,                0.51567,                0.46955,                 1.0424,                0.95157,                0.92447,                  0.969,                 0.8835,                 0.3948,                0.85388,                0.87439,                0.00802,                0.00802,                0.00802
                    102,                0.52162,                0.47881,                  1.051,                0.96401,                0.92113,                 0.9714,                 0.8825,                0.39672,                0.79409,                0.87424,              0.0080002,              0.0080002,              0.0080002
                    103,                0.51868,                0.47612,                 1.0462,                0.95977,                0.93126,                0.96574,                0.87822,                0.39128,                   1.53,                0.87557,              0.0079804,              0.0079804,              0.0079804
                    104,                0.51737,                0.46491,                 1.0504,                0.97137,                0.91731,                0.97159,                0.88254,                 0.3921,                 1.0386,                0.87181,              0.0079606,              0.0079606,              0.0079606
                    105,                0.50964,                0.46105,                 1.0437,                0.97026,                0.91444,                0.96751,                0.88336,                0.39556,                0.78258,                0.87422,              0.0079408,              0.0079408,              0.0079408
                    106,                0.51346,                0.46793,                 1.0442,                 0.9664,                0.92025,                0.96861,                0.87927,                0.39782,                0.98884,                0.87721,               0.007921,               0.007921,               0.007921
                    107,                0.51771,                0.46225,                 1.0433,                0.97913,                0.91357,                0.97179,                0.89058,                0.38719,                0.82609,                0.87113,              0.0079012,              0.0079012,              0.0079012
                    108,                0.51484,                0.46769,                 1.0474,                0.97501,                0.91123,                0.96999,                0.88728,                0.38919,                0.89397,                 0.8709,              0.0078814,              0.0078814,              0.0078814
                    109,                0.51581,                0.47206,                  1.046,                0.97992,                0.90524,                0.96965,                0.89147,                0.39814,                0.81854,                0.87989,              0.0078616,              0.0078616,              0.0078616
                    110,                0.50936,                0.45699,                 1.0411,                0.97245,                0.92799,                0.97427,                0.89045,                0.39007,                0.77695,                0.87109,              0.0078418,              0.0078418,              0.0078418
                    111,                0.51322,                 0.4621,                 1.0463,                0.96234,                0.93828,                0.97641,                0.88933,                0.38936,                0.78685,                0.86717,               0.007822,               0.007822,               0.007822
                    112,                0.51192,                0.45738,                 1.0404,                0.97565,                0.92973,                0.97711,                0.89226,                0.38961,                 0.7983,                0.86894,              0.0078022,              0.0078022,              0.0078022
                    113,                0.51255,                0.46521,                 1.0442,                0.96815,                0.93063,                0.97492,                 0.8887,                0.38719,                0.52684,                0.86745,              0.0077824,              0.0077824,              0.0077824
                    114,                0.50278,                0.45723,                  1.038,                0.97212,                0.93632,                0.97622,                0.89587,                0.38199,                0.97713,                0.86763,              0.0077626,              0.0077626,              0.0077626
                    115,                0.51242,                0.45944,                 1.0391,                0.96454,                0.93187,                0.97527,                0.89076,                0.38446,                0.94923,                0.86463,              0.0077428,              0.0077428,              0.0077428
                    116,                0.49986,                0.45476,                 1.0387,                0.96755,                0.92916,                0.97377,                0.89154,                0.37537,                0.55043,                0.86464,               0.007723,               0.007723,               0.007723
                    117,                0.50321,                0.45627,                 1.0377,                0.97924,                0.92015,                0.97337,                0.89196,                0.38322,                0.54661,                0.86087,              0.0077032,              0.0077032,              0.0077032
